,Filename,Cell Type,Fibers,Stain,Sarcomere Count,Mean Length (µm),Mean Angle (Degrees),Stdev Angle (Degrees),Nuclei Count 3D,Myofibril Density (Vol)
0,0CF_fibers_cx43_40x-01,0CF,fibers,cx43,631,1.8093527457546512,99.97818536766044,37.35097126579472,32,0.02554028835295453
1,0CF_fibers_cx43_40x-02,0CF,fibers,cx43,581,1.7423796193683239,78.90945356016982,45.205229370909635,31,0.018932890198715056
