,Unnamed: 0,frame,sarc_id,x,y,length,width,angle,zdiscs,Length_microns
131,131,11,10,,,,,,"13,88",
132,132,0,11,324.4968034084924,412.98502908822775,5.580908522875089,2.605848362509245,2.371851541521304,"14,15",1.7412434591370278
133,133,1,11,,,,,,"14,15",
134,134,2,11,,,,,,"14,15",
135,135,3,11,,,,,,"14,15",
136,136,4,11,,,,,,"14,15",
137,137,5,11,,,,,,"14,15",
138,138,6,11,,,,,,"14,15",
139,139,7,11,,,,,,"14,15",
140,140,8,11,,,,,,"14,15",
141,141,9,11,,,,,,"14,15",
142,142,10,11,,,,,,"14,15",
143,143,11,11,,,,,,"14,15",
144,144,0,12,335.0019983016682,424.2178193672213,6.305683632117015,2.9049369198901096,1.378567647149125,"17,18",1.9673732932205086
145,145,1,12,,,,,,"17,18",
146,146,2,12,,,,,,"17,18",
147,147,3,12,,,,,,"17,18",
148,148,4,12,,,,,,"17,18",
149,149,5,12,,,,,,"17,18",
150,150,6,12,,,,,,"17,18",
151,151,7,12,,,,,,"17,18",
152,152,8,12,,,,,,"17,18",
153,153,9,12,,,,,,"17,18",
154,154,10,12,,,,,,"17,18",
155,155,11,12,,,,,,"17,18",
156,156,0,13,348.4285480665532,430.8783322688906,6.748337155351996,2.9096403624560394,0.141189816157063,"19,20",2.105481192469823
157,157,1,13,,,,,,"19,20",
158,158,2,13,,,,,,"19,20",
159,159,3,13,,,,,,"19,20",
160,160,4,13,,,,,,"19,20",
161,161,5,13,,,,,,"19,20",
162,162,6,13,,,,,,"19,20",
163,163,7,13,,,,,,"19,20",
164,164,8,13,,,,,,"19,20",
165,165,9,13,,,,,,"19,20",
166,166,10,13,,,,,,"19,20",
167,167,11,13,,,,,,"19,20",
168,168,0,14,,,,,,"24,26",
169,169,1,14,208.91441160465507,371.9159862552135,6.509349680021656,4.868832015636556,2.803358899834425,"24,26",2.0309171001667568
170,170,2,14,,,,,,"24,26",
171,171,3,14,,,,,,"24,26",
172,172,4,14,,,,,,"24,26",
173,173,5,14,,,,,,"24,26",
174,174,6,14,,,,,,"24,26",
175,175,7,14,,,,,,"24,26",
176,176,8,14,,,,,,"24,26",
177,177,9,14,,,,,,"24,26",
178,178,10,14,,,,,,"24,26",
179,179,11,14,,,,,,"24,26",
180,180,0,15,,,,,,"26,28",
181,181,1,15,211.87710507689823,376.8618470349501,5.315064246443349,5.364271761668217,2.354296303111248,"26,28",1.658300044890325
182,182,2,15,,,,,,"26,28",
183,183,3,15,,,,,,"26,28",
184,184,4,15,,,,,,"26,28",
185,185,5,15,,,,,,"26,28",
186,186,6,15,,,,,,"26,28",
187,187,7,15,,,,,,"26,28",
188,188,8,15,,,,,,"26,28",
189,189,9,15,,,,,,"26,28",
190,190,10,15,,,,,,"26,28",
191,191,11,15,,,,,,"26,28",
192,192,0,16,,,,,,"28,30",
193,193,1,16,215.6079949999679,380.6069207570204,5.257640944139505,4.391041825331636,2.3619286334469662,"28,30",1.6403839745715254
194,194,2,16,,,,,,"28,30",
195,195,3,16,,,,,,"28,30",
196,196,4,16,,,,,,"28,30",
197,197,5,16,,,,,,"28,30",
198,198,6,16,,,,,,"28,30",
199,199,7,16,,,,,,"28,30",
200,200,8,16,,,,,,"28,30",
201,201,9,16,,,,,,"28,30",
202,202,10,16,,,,,,"28,30",
203,203,11,16,,,,,,"28,30",
204,204,0,17,,,,,,"29,32",
205,205,1,17,220.3399783242909,378.12240653066215,5.920440259255424,4.346408271328593,2.295729267899055,"29,32",1.8471773608876925
206,206,2,17,,,,,,"29,32",
207,207,3,17,,,,,,"29,32",
208,208,4,17,,,,,,"29,32",
209,209,5,17,,,,,,"29,32",
210,210,6,17,,,,,,"29,32",
211,211,7,17,,,,,,"29,32",
212,212,8,17,,,,,,"29,32",
213,213,9,17,,,,,,"29,32",
214,214,10,17,,,,,,"29,32",
